StructureType,attributeName,Caption,Type,Default,Min,Max,StructureFileOnly,Description
dambreak,Algorithm,Algorithm:Verheij - vd Knaap (2002)|User defined breach,2|3,,,,FALSE,0 = unknown 2 = Verheij - vd Knaap (2002) 3 = User defined
dambreak,CrestLevelIni,Initial crest level,Double,,,,FALSE,Initial crest level [m]
dambreak,CrestLevelMin,Minimum crest level,Double,,,,FALSE,Minimum crest level [m]
dambreak,BreachWidthIni,Initial breach width,Double,,,,FALSE,Initial breach width [m]
dambreak,TimeToBreachToMaximumDepth, Time to reach maximum breach depth,Double,,,,FALSE,Time to reach maximum breach depth (in seconds) [s]
dambreak,F1,Factor 1,Double,,,,FALSE,Factor 1, Alfa [-]
dambreak,F2,Factor 2,Double,,,,FALSE,Factor 2, Beta [-]
dambreak,Ucrit,Critical flow velocity,Double,,,,FALSE,Critical flow velocity [m/s]
dambreak,waterLevelUpstreamLocationX,Water Level Upstream start location-X,Double,,,,FALSE,X-position of the upstream point of the water level stream to the breach point
dambreak,waterLevelUpstreamLocationY,Water Level Upstream start location-Y,Double,,,,FALSE,Y-position of the upstream point of the water level stream to the breach point
dambreak,waterLevelDownstreamLocationX,Water Level Downstream start location-X,Double,,,,FALSE,X-position of the downstream point of the water level stream from the breach point
dambreak,waterLevelDownstreamLocationY,Water Level Downstream start location-Y,Double,,,,FALSE,Y-position of the downstream point of the water level stream from the breach point
dambreak,T0,Breach start time,Double,,,,FALSE,Start time of the breach (in seconds) [s]
dambreak,State,State of the growth,1|0,,,,FALSE,0 = off 1 = on (typically set via BMI)
dambreak,DambreakLevelsAndWidths,Path to the user defined breach,String,,,,FALSE,Path to the user defined breach
universalweir,type,Type,String,universalWeir,,,,"Structure type, must read universalWeir."
universalweir,allowedFlowDir,Allowed flow direction,String,,,,,Possible values: both, positive, negative, none.
universalweir,numLevels,Number of yz-values,integer,,,,,Number of yz-values.
universalweir,yValues,Y-values cross-section,DoubleArray,,,,,y-values of the cross section (m). (number of values = numLevels)
universalweir,zValues,Z-values cross-section,DoubleArray,,,,,z-values of the cross section (m). (number of values = numLevels)
universalweir,crestLevel,Crest level,Double,,,,,Crest level of weir (m AD).
universalweir,dischargeCoeff,Discharge coefficient,Double,,,,,Discharge coefficient
culvert,type,Type,String,culvert,,,,"Structure type, must read culvert."
culvert,allowedFlowDir,Allowed flow direction,String,,,,,Possible values: both, positive, negative, none.
culvert,leftLevel,Left invert level,Double,,,,,Left invert level of the culvert (m AD).
culvert,rightLevel,Right invert level,Double,,,,,Right invert level of the culvert (m AD).
culvert,csDefId,Id of cross section definition,String,,,,,Id of cross section definition.
culvert,length,Length,Double,,,,,Length (L) [m].
culvert,inletLossCoeff,Inlet loss coefficient,Double,,,,,Inlet loss coefficient (-).
culvert,outletLossCoeff,Outlet loss coefficient,Double,,,,,Outlet loss coefficient (-).
culvert,valveOnOff,Valve,integer,,,,,Flag for having valve or not (0=no valve, 1=valve).
culvert,valveOpeningHeight,Valve opening height,Steerable,,,,,Valve opening height (m).
culvert,numLossCoeff,Number of loss coefficients,integer,,,,,Number of loss coefficients.
culvert,relOpening,Relative valve opening,DoubleArray,,,,,Relative valve opening (0.0 - 1.0). (number of values = numLossCoeff).
culvert,lossCoeff,Loss coefficients,DoubleArray,,,,,Loss coefficients (-). (number of values = numLossCoeff).
culvert,bedFrictionType,Friction type,String,,,,,Friction type.
culvert,bedFriction,Friction value,Double,,,,,Friction value.
bridge,type,Type,String,bridge,,,,"Structure type, must read bridge."
