Bestandsnaam,ElementName,Kolomnaam,Code,,Definitie,Type,Eenheid,Verplicht,Standaardwaarde,Opmerking
Verloop.csv,Distribution.csv,HydxPercentageVolumeDagVER_DAGUur05,U05_DAG,H05_PERCENTAGE_DAY_VOLUME_AT_05_HOUR,Percentage van het dagvolume op 05 uur,double,%,nee,,"[Len=3] [Verplicht als Verloop/VER_TYP=DAG, VAR]"
Verloop.csv,Distribution.csv,HydxPercentageVolumeDagVER_DAGUur06,U06_DAG,H06_PERCENTAGE_DAY_VOLUME_AT_06_HOUR,Percentage van het dagvolume op 06 uur,double,%,nee,,"[Len=3] [Verplicht als Verloop/VER_TYP=DAG, VAR]"
Verloop.csv,Distribution.csv,HydxPercentageVolumeDagVER_DAGUur07,U07_DAG,H07_PERCENTAGE_DAY_VOLUME_AT_07_HOUR,Percentage van het dagvolume op 07 uur,double,%,nee,,"[Len=3] [Verplicht als Verloop/VER_TYP=DAG, VAR]"
Verloop.csv,Distribution.csv,HydxPercentageVolumeDagVER_DAGUur08,U08_DAG,H08_PERCENTAGE_DAY_VOLUME_AT_08_HOUR,Percentage van het dagvolume op 08 uur,double,%,nee,,"[Len=3] [Verplicht als Verloop/VER_TYP=DAG, VAR]"
Verloop.csv,Distribution.csv,HydxPercentageVolumeDagVER_DAGUur09,U09_DAG,H09_PERCENTAGE_DAY_VOLUME_AT_09_HOUR,Percentage van het dagvolume op 09 uur,double,%,nee,,"[Len=3] [Verplicht als Verloop/VER_TYP=DAG, VAR]"
Verloop.csv,Distribution.csv,HydxPercentageVolumeDagVER_DAGUur10,U10_DAG,H10_PERCENTAGE_DAY_VOLUME_AT_10_HOUR,Percentage van het dagvolume op 10 uur,double,%,nee,,"[Len=3] [Verplicht als Verloop/VER_TYP=DAG, VAR]"
Verloop.csv,Distribution.csv,HydxPercentageVolumeDagVER_DAGUur11,U11_DAG,H11_PERCENTAGE_DAY_VOLUME_AT_11_HOUR,Percentage van het dagvolume op 11 uur,double,%,nee,,"[Len=3] [Verplicht als Verloop/VER_TYP=DAG, VAR]"
Verloop.csv,Distribution.csv,HydxPercentageVolumeDagVER_DAGUur12,U12_DAG,H12_PERCENTAGE_DAY_VOLUME_AT_12_HOUR,Percentage van het dagvolume op 12 uur,double,%,nee,,"[Len=3] [Verplicht als Verloop/VER_TYP=DAG, VAR]"
Verloop.csv,Distribution.csv,HydxPercentageVolumeDagVER_DAGUur13,U13_DAG,H13_PERCENTAGE_DAY_VOLUME_AT_13_HOUR,Percentage van het dagvolume op 13 uur,double,%,nee,,"[Len=3] [Verplicht als Verloop/VER_TYP=DAG, VAR]"
Verloop.csv,Distribution.csv,HydxPercentageVolumeDagVER_DAGUur14,U14_DAG,H14_PERCENTAGE_DAY_VOLUME_AT_14_HOUR,Percentage van het dagvolume op 14 uur,double,%,nee,,"[Len=3] [Verplicht als Verloop/VER_TYP=DAG, VAR]"
Verloop.csv,Distribution.csv,HydxPercentageVolumeDagVER_DAGUur15,U15_DAG,H15_PERCENTAGE_DAY_VOLUME_AT_15_HOUR,Percentage van het dagvolume op 15 uur,double,%,nee,,"[Len=3] [Verplicht als Verloop/VER_TYP=DAG, VAR]"
Verloop.csv,Distribution.csv,HydxPercentageVolumeDagVER_DAGUur16,U16_DAG,H16_PERCENTAGE_DAY_VOLUME_AT_16_HOUR,Percentage van het dagvolume op 16 uur,double,%,nee,,"[Len=3] [Verplicht als Verloop/VER_TYP=DAG, VAR]"
Verloop.csv,Distribution.csv,HydxPercentageVolumeDagVER_DAGUur17,U17_DAG,H17_PERCENTAGE_DAY_VOLUME_AT_17_HOUR,Percentage van het dagvolume op 17 uur,double,%,nee,,"[Len=3] [Verplicht als Verloop/VER_TYP=DAG, VAR]"
Verloop.csv,Distribution.csv,HydxPercentageVolumeDagVER_DAGUur18,U18_DAG,H18_PERCENTAGE_DAY_VOLUME_AT_18_HOUR,Percentage van het dagvolume op 18 uur,double,%,nee,,"[Len=3] [Verplicht als Verloop/VER_TYP=DAG, VAR]"
Verloop.csv,Distribution.csv,HydxPercentageVolumeDagVER_DAGUur19,U19_DAG,H19_PERCENTAGE_DAY_VOLUME_AT_19_HOUR,Percentage van het dagvolume op 19 uur,double,%,nee,,"[Len=3] [Verplicht als Verloop/VER_TYP=DAG, VAR]"
Verloop.csv,Distribution.csv,HydxPercentageVolumeDagVER_DAGUur20,U20_DAG,H20_PERCENTAGE_DAY_VOLUME_AT_20_HOUR,Percentage van het dagvolume op 20 uur,double,%,nee,,"[Len=3] [Verplicht als Verloop/VER_TYP=DAG, VAR]"
Verloop.csv,Distribution.csv,HydxPercentageVolumeDagVER_DAGUur21,U21_DAG,H21_PERCENTAGE_DAY_VOLUME_AT_21_HOUR,Percentage van het dagvolume op 21 uur,double,%,nee,,"[Len=3] [Verplicht als Verloop/VER_TYP=DAG, VAR]"
Verloop.csv,Distribution.csv,HydxPercentageVolumeDagVER_DAGUur22,U22_DAG,H22_PERCENTAGE_DAY_VOLUME_AT_22_HOUR,Percentage van het dagvolume op 22 uur,double,%,nee,,"[Len=3] [Verplicht als Verloop/VER_TYP=DAG, VAR]"
Verloop.csv,Distribution.csv,HydxPercentageVolumeDagVER_DAGUur23,U23_DAG,H23_PERCENTAGE_DAY_VOLUME_AT_23_HOUR,Percentage van het dagvolume op 23 uur,double,%,nee,,"[Len=3] [Verplicht als Verloop/VER_TYP=DAG, VAR]"
Verloop.csv,Distribution.csv,HydxToelichtingRegel,ALG_TOE,REMARKS,Toelichting bij deze regel,string,string,nee,,[Len=100]
Oppervlak.csv,Surface.csv,HydxIdentificatieKnooppuntOfVerbinding,UNI_IDE,UNIQUE_ID,"Unieke identificatie van het knooppunt of de verbinding, een verwijzing naar de bestandsregel-identificatie. De waarde van deze kolom mag slechts één keer voorkomen in zowel Knooppunt.csv als Verbinding.csv. Koppeling tussen Knooppunt.csv of Verbinding.csv met Kunstwerk.csv, BOP.csv, Oppervlak.csv, Debiet.csv.",string,string,ja,,[Len=10]
Oppervlak.csv,Surface.csv,HydxNaamNeerslagstation,NSL_STA,WEATHER_STATION,Naam neerslagstation,string,string,nee,,[Len=30]
Oppervlak.csv,Surface.csv,HydxAfvoerdefinitie,AFV_DEF,WWF_ID,Naam van bestand waarin het neerslag-afvoerconcept staat beschreven. Bijvoorbeeld nwrw.csv of groenedaken.csv,string,string,ja,,[Len=30]
Oppervlak.csv,Surface.csv,HydxIdentificatieRegelAfvoerendOppervlak,AFV_IDE,SURFACE_ID,Gedetailleerde neerslag-afvoer per type afvoerend oppervlak. Koppeling tussen Oppervlak.csv en het genoemde bestand bij Oppervlak/AFV_DEF,string,TypeAfvoerendOppervlakColl,ja,,[Len=10]
Oppervlak.csv,Surface.csv,HydxAfvoerendOppervlak,AFV_OPP,SURFACE,Omvang afvoerend oppervlak,double,m2,nee,,[Len=10]
Oppervlak.csv,Surface.csv,HydxToelichtingRegel,ALG_TOE,REMARKS,Toelichting bij deze regel,string,string,nee,,[Len=100]
Debiet.csv,Discharge.csv,HydxIdentificatieKnooppuntOfVerbinding,UNI_IDE,UNIQUE_ID,"Unieke identificatie van het knooppunt of de verbinding, een verwijzing naar de bestandsregel-identificatie. De waarde van deze kolom mag slechts één keer voorkomen in zowel Knooppunt.csv als Verbinding.csv. Koppeling tussen Knooppunt.csv of Verbinding.csv met Kunstwerk.csv, BOP.csv, Oppervlak.csv, Debiet.csv.",string,string,ja,,[Len=10]
Debiet.csv,Discharge.csv,HydxTypeDebiet,DEB_TYP,DISCHARGE_TYPE,"Debiet vanuit DWA, RWA en Lozing",string,TypeDebietColl,ja,,[Len=3]
Debiet.csv,Discharge.csv,HydxIdentificatieVerloopDefinitie,VER_IDE,DISCHARGE_ID,Verloop van debiet. Koppeling tussen Debiet.csv en Verloop.csv.,string,string,nee,,[Len=10] [Verplicht als Debiet/DEB_TYP=VWD]
Debiet.csv,Discharge.csv,HydxAantalVervuilingseenhedenVerloopDefinitie,AVV_ENH,POLLUTING_UNITS,Aantal vervuilingseenheden behorend bij de verloop-definitie,double,number,nee,,[Len=10] [Verplicht als Debiet/DEB_TYP=VWD] (optioneel bij Debiet/DEB_TYP=LAT)
Debiet.csv,Discharge.csv,HydxAfvoerendOppervlak,AFV_OPP,SURFACE,Omvang afvoerend oppervlak,double,m2,nee,,[Len=10]
Debiet.csv,Discharge.csv,HydxToelichtingRegel,ALG_TOE,REMARKS,Toelichting bij deze regel,string,string,nee,,[Len=100]
Meta.csv,Meta.csv,HydxAantalCsv_bestanden,ALG_ATL,NUMBER_CSV_FILES,Aantal .csv bestanden behorend bij dit HYD,double,number,ja,,[Len=3]
Meta.csv,Meta.csv,HydxVersieGWSW_Hydx,ALG_VRS,VERSION,Versie GWSW.HYD,string,string,nee,,[Len=10]
Meta.csv,Meta.csv,HydxDatumSamenstellingHydX_bestand,ALG_DAT,DATE,Datum samenstelling HydX-bestand,datetime,yyyymmdd,nee,,[Len=8]
Meta.csv,Meta.csv,HydxOpdrachtgevendeInstantie,ALG_OPD,PROJECT_CLIENT,Opdrachtgevende instantie,string,string,nee,,[Len=30]
Meta.csv,Meta.csv,HydxUitvoerendeInstantie,ALG_UIT,PROJECT_CONTRACTOR,Uitvoerende instantie,string,string,nee,,[Len=30]
Meta.csv,Meta.csv,HydxOmschrijvingRioolstelsel,ALG_OMS,DESCRIPTION_SEWER-SYSTEM,Omschrijving rioolstelsel,string,string,nee,,[Len=30]
Meta.csv,Meta.csv,HydxOorsprongExport,ALG_EXP,SOURCE_HYD,Oorsprong van export (naam modelleersoftware of beheerpakket),string,string,nee,,[Len=30]
Meta.csv,Meta.csv,HydxToelichtingRegel,ALG_TOE,REMARKS,Toelichting bij deze regel,string,string,nee,,[Len=100]
