Bestandsnaam,ElementName,Kolomnaam,Code,,Definitie,Type,Eenheid,Verplicht,Standaardwaarde,Opmerking
Verbinding.csv,Connection.csv,HydxStromingsrichting,STR_RCH,FLOW_DIRECTION,Mogelijke stromingsrichting door verbinding,string,StromingsrichtingColl,nee,,"[Len=3] [Verplicht als Verbinding/VRB_TYP=GSL,OPL,OVS,DRL]"
Verbinding.csv,Connection.csv,HydxLengteVerbinding,VRB_LEN,LENGTH,Lengte van de leiding of de lengte die via het kunstwerk overbrugd wordt (bijvoorbeeld de lengte van de persleiding tussen pomp en lozingspunt),double,m,ja,,[Len=8.2]
Verbinding.csv,Connection.csv,HydxTypeInzameling,INZ_TYP,WATER_TYPE,Type afvalwater dat wordt ingezameld,string,TypeInzamelingColl,nee,,"[Len=3] [Verplicht als Knooppunt/KNP_TYP=INS,ITP,CMP Verbinding/VRB_TYP=GSL,OPL,ITR"
Verbinding.csv,Connection.csv,HydxInstroomverliescoefficientKnooppunt1,INV_KN1,INLETLOSS_START,Instroomverliescoëfficient knooppunt 1,double,decimal,nee,,"[Len=4.2] [Verplicht als Verbinding/VRB_TYP=GSL,OPL]"
Verbinding.csv,Connection.csv,HydxUitstroomverliescoefficientKnooppunt1,UTV_KN1,OUTLETLOSS_START,Uitstroomverliescoëfficient knooppunt 1,double,decimal,nee,,"[Len=4.2] [Verplicht als Verbinding/VRB_TYP=GSL,OPL]"
Verbinding.csv,Connection.csv,HydxInstroomverliescoefficientKnooppunt2,INV_KN2,INLETLOSS_END,Instroomverliescoëfficient knooppunt 2,double,decimal,nee,,"[Len=4.2] [Verplicht als Verbinding/VRB_TYP=GSL,OPL]"
Verbinding.csv,Connection.csv,HydxUitstroomverliescoefficientKnooppunt2,UTV_KN2,OUTLETLOSS_END,Uitstroomverliescoëfficient knooppunt 2,double,decimal,nee,,"[Len=4.2] [Verplicht als Verbinding/VRB_TYP=GSL,OPL]"
Verbinding.csv,Connection.csv,HydxIdentificatieDefinitieIT_object,ITO_IDE,INFILTRATION_DEF,Definitie infiltratiekarakteristieken. Koppeling tussen ItObject.csv en Verbinding.csv of Knooppunt.csv,string,string,nee,,"[Len=10] [Verplicht als Verbinding/VRB_TYP=ITR, Knooppunt/KNP_TYP=ITP]"
Verbinding.csv,Connection.csv,HydxIdentificatieProfieldefinitie,PRO_IDE,CROSS_SECTION_DEF,Profieldefinitie. Koppeling tussen Profiel.csv en Verbinding.csv,string,string,nee,,"[Len=10] [Verplicht als Verbinding/VRB_TYP=GSL,OPL,ITR]"
Verbinding.csv,Connection.csv,HydxStatusObject,STA_OBJ,STATUS,Status van het object,string,StatusObjectColl,nee,,[Len=3]
Verbinding.csv,Connection.csv,HydxAannameBobKnooppunt1,AAN_BB1,A_LEVEL_START,Aanname waarde BOB_KN1,string,AannameHydXColl,nee,,[Len=3]
Verbinding.csv,Connection.csv,HydxAannameBobKnooppunt2,AAN_BB2,A_LEVEL_END,Aanname waarde BOB_KN2,string,AannameHydXColl,nee,,[Len=3]
Verbinding.csv,Connection.csv,HydxInitieleWaterstand,INI_NIV,INITIAL_WATERLEVEL,Initiële waterstand t.o.v. NAP,double,m,nee,,[Len=8.2]
Verbinding.csv,Connection.csv,HydxToelichtingRegel,ALG_TOE,REMARKS,Toelichting bij deze regel,string,string,nee,,[Len=100]
Kunstwerk.csv,Structure.csv,HydxIdentificatieKnooppuntOfVerbinding,UNI_IDE,UNIQUE_ID,"Unieke identificatie van het knooppunt of de verbinding, een verwijzing naar de bestandsregel-identificatie. De waarde van deze kolom mag slechts één keer voorkomen in zowel Knooppunt.csv als Verbinding.csv. Koppeling tussen Knooppunt.csv of Verbinding.csv met Kunstwerk.csv, BOP.csv, Oppervlak.csv, Debiet.csv.",string,string,ja,,[Len=10]
Kunstwerk.csv,Structure.csv,HydxTypeKunstwerk,KWK_TYP,STRUCTURE_TYPE,Type hydraulisch component in het kunstwerk,string,TypeKunstwerkColl,ja,,[Len=3]
Kunstwerk.csv,Structure.csv,HydxBuitenwaterstand,BWS_NIV,SURFACE_WATER_LEVEL,Buitenwaterstand t.o.v. NAP,double,m,nee,,[Len=8.2] [Verplicht als Kunstwerk/KWK_TYP=UIT]
Kunstwerk.csv,Structure.csv,HydxNiveauBinnenonderkantProfiel,PRO_BOK,BOTTOM_LEVEL,Niveau binnenonderkant profiel t.o.v. NAP,double,m,nee,,[Len=8.2] [Verplicht als Kunstwerk/KWK_TYP=DRL]
Kunstwerk.csv,Structure.csv,HydxContractiecoefficientDoorlaatprofiel,DRL_COE,CONTRACTION_COEFFICIENT,Contractiecoëfficient doorlaatprofiel,double,decimal,nee,,[Len=4.2] [Verplicht als Kunstwerk/KWK_TYP=DRL]
Kunstwerk.csv,Structure.csv,HydxMaximaleCapaciteitDoorlaat,DRL_CAP,MAX_DISCHARGE,Maximale capaciteit doorlaat,double,m3/h,nee,,[Len=8.2] [Verplicht als Kunstwerk/KWK_TYP=DRL]
Kunstwerk.csv,Structure.csv,HydxBreedteOverstortdrempel,OVS_BRE,CREST_WIDTH,Breedte overstortdrempel,double,m,nee,,[Len=8.2] [Verplicht als Kunstwerk/KWK_TYP=OVS]
Kunstwerk.csv,Structure.csv,HydxNiveauOverstortdrempel,OVS_NIV,CREST_LEVEL,Niveau overstortdrempel t.o.v. NAP,double,m,nee,,[Len=8.2] [Verplicht als Kunstwerk/KWK_TYP=OVS]
Kunstwerk.csv,Structure.csv,HydxAfvoercoefficientOverstortdrempel,OVS_COE,DISCHARGE_COEFFICIENT,Afvoercoëfficient overstortdrempel,double,decimal,nee,,[Len=4.2] [Verplicht als Kunstwerk/KWK_TYP=OVS]
Kunstwerk.csv,Structure.csv,HydxPompcapaciteit,PMP_CAP,PUMP_CAPACITY,Capaciteit van de individuele pomp,double,m3/h,nee,,[Len=8.2] [Verplicht als Kunstwerk/KWK_TYP=PMP]
Kunstwerk.csv,Structure.csv,HydxAanslagniveauBenedenstrooms,PMP_AN1,START_LEVEL_DOWNSTREAMS,Aanslagniveau benedenstrooms (zuigzijde) pomp t.o.v. NAP,double,m,nee,,[Len=8.2] [Verplicht als Kunstwerk/KWK_TYP=PMP]
Kunstwerk.csv,Structure.csv,HydxAfslagniveauBenedenstrooms,PMP_AF1,STOP_LEVEL_DOWNSTREAMS,Afslagniveau benedenstrooms (zuigzijde) pomp t.o.v. NAP,double,m,nee,,[Len=8.2] [Verplicht als Kunstwerk/KWK_TYP=PMP]
Kunstwerk.csv,Structure.csv,HydxAanslagniveauBovenstrooms,PMP_AN2,START_LEVEL_UPSTREAMS,Aanslagniveau bovenstrooms (perszijde) pomp t.o.v. NAP,double,m,nee,,[Len=8.2]
Kunstwerk.csv,Structure.csv,HydxAfslagniveauBovenstrooms,PMP_AF2,STOP_LEVEL_UPSTREAMS,Afslagniveau benedenstrooms (perszijde) pomp t.o.v. NAP,double,m,nee,,[Len=8.2]
Kunstwerk.csv,Structure.csv,HydxNiveauverschilDebiet_verhangrelatie,QDH_NIV,LEVEL_QH,Niveauverschil bij debiet-verhangrelatie,double,m,nee,,[Len=8.2]
Kunstwerk.csv,Structure.csv,HydxDebietverschilDebiet_verhangrelatie,QDH_DEB,DISCHARGE_QH,Debietverschil bij debiet-verhangrelatie,double,m3/h,nee,,[Len=8.2]
Kunstwerk.csv,Structure.csv,HydxAannameNiveauOverstortdrempel,AAN_OVN,A_CREST_LEVEL,Aanname waarde OVS_NIV,string,AannameHydXColl,nee,,[Len=3]
Kunstwerk.csv,Structure.csv,HydxAannameBreedteOverstortdrempel,AAN_OVB,A_CREST_WIDTH,Aanname waarde OVS_BRE,string,AannameHydXColl,nee,,[Len=3]
Kunstwerk.csv,Structure.csv,HydxAannamePompcapaciteitPomp,AAN_CAP,A_CAPACITY,Aanname waarde PMP_CAP,string,AannameHydXColl,nee,,[Len=3]
Kunstwerk.csv,Structure.csv,HydxAannameAanslagniveauPomp,AAN_ANS,A_START_LEVEL,Aanname waarde PMP_ANS,string,AannameHydXColl,nee,,[Len=3]
Kunstwerk.csv,Structure.csv,HydxAannameAfslagniveauPomp,AAN_AFS,A_STOP_LEVEL,Aanname waarde PMP_AFS,string,AannameHydXColl,nee,,[Len=3]
